Country,File Paths ,Year,Values
Zimbabwe,Exportable production,1/1/2000,104.523
Congo,Exportable production,1/1/2000,0
Cuba,Exportable production,1/1/2000,99.4345
Dominican Republic,Exportable production,1/1/2000,142.038
Haiti,Exportable production,1/1/2000,79.85
Philippines,Exportable production,1/1/2000,0
Tanzania,Exportable production,1/1/2000,793.8714
Zambia,Exportable production,1/1/2000,92.774
Benin,Exportable production,1/1/2000,0
Cameroon,Exportable production,1/1/2000,1038.143
Central African Republic,Exportable production,1/1/2000,110.313
Colombia,Exportable production,1/1/2000,9237.352
Costa Rica,Exportable production,1/1/2000,2043.536
Côte d'Ivoire,Exportable production,1/1/2000,4528.919
Democratic Republic of Congo,Exportable production,1/1/2000,162.535
El Salvador,Exportable production,1/1/2000,1560.4498
Equatorial Guinea,Exportable production,1/1/2000,0
Ethiopia,Exportable production,1/1/2000,1101.149
Gabon,Exportable production,1/1/2000,0
Ghana,Exportable production,1/1/2000,75.456
Guatemala,Exportable production,1/1/2000,4639.753
Guinea,Exportable production,1/1/2000,349.992
Guyana,Exportable production,1/1/2000,0.9888
Honduras,Exportable production,1/1/2000,2436.658
India,Exportable production,1/1/2000,4044.7666
Jamaica,Exportable production,1/1/2000,24.8104
Kenya,Exportable production,1/1/2000,951.8641
Lao People's Democratic Republic,Exportable production,1/1/2000,212.185
Liberia,Exportable production,1/1/2000,7.305
Mexico,Exportable production,1/1/2000,3509.9789
Nepal,Exportable production,1/1/2000,0
Nicaragua,Exportable production,1/1/2000,1397.5026
Nigeria,Exportable production,1/1/2000,9.431
Panama,Exportable production,1/1/2000,103.226
Sierra Leone,Exportable production,1/1/2000,44.155
Sri Lanka,Exportable production,1/1/2000,3.28
Thailand,Exportable production,1/1/2000,1192.2342
Togo,Exportable production,1/1/2000,195.401
Trinidad & Tobago,Exportable production,1/1/2000,2.393
Uganda,Exportable production,1/1/2000,3258.683
Venezuela,Exportable production,1/1/2000,265.934
Viet Nam,Exportable production,1/1/2000,14439.684
Yemen,Exportable production,1/1/2000,63.936
Angola,Gross Opening stocks,1/1/2000,5
Bolivia (Plurinational State of),Gross Opening stocks,1/1/2000,6
Brazil,Gross Opening stocks,1/1/2000,43762
Burundi,Gross Opening stocks,1/1/2000,12.477
Ecuador,Gross Opening stocks,1/1/2000,85
Indonesia,Gross Opening stocks,1/1/2000,792.868
Madagascar,Gross Opening stocks,1/1/2000,9.433
Malawi,Gross Opening stocks,1/1/2000,9
Papua New Guinea,Gross Opening stocks,1/1/2000,104.943
Paraguay,Gross Opening stocks,1/1/2000,33
Peru,Gross Opening stocks,1/1/2000,157.149
Rwanda,Gross Opening stocks,1/1/2000,0.71
Timor-Leste,Gross Opening stocks,1/1/2000,0
Zimbabwe,Gross Opening stocks,1/1/2000,10
Congo,Gross Opening stocks,1/1/2000,0
Cuba,Gross Opening stocks,1/1/2000,126.2
Dominican Republic,Gross Opening stocks,1/1/2000,337.619
Haiti,Gross Opening stocks,1/1/2000,16
Philippines,Gross Opening stocks,1/1/2000,930
Tanzania,Gross Opening stocks,1/1/2000,82.219
Zambia,Gross Opening stocks,1/1/2000,0
Benin,Gross Opening stocks,1/1/2000,0
Cameroon,Gross Opening stocks,1/1/2000,117.5
Central African Republic,Gross Opening stocks,1/1/2000,36.942
Colombia,Gross Opening stocks,1/1/2000,2054.666
Costa Rica,Gross Opening stocks,1/1/2000,267
Côte d'Ivoire,Gross Opening stocks,1/1/2000,551.649
Democratic Republic of Congo,Gross Opening stocks,1/1/2000,18.113
El Salvador,Gross Opening stocks,1/1/2000,232.9
Equatorial Guinea,Gross Opening stocks,1/1/2000,0
Ethiopia,Gross Opening stocks,1/1/2000,2400
Gabon,Gross Opening stocks,1/1/2000,2.309
Ghana,Gross Opening stocks,1/1/2000,18
Guatemala,Gross Opening stocks,1/1/2000,80.33
Guinea,Gross Opening stocks,1/1/2000,56
Guyana,Gross Opening stocks,1/1/2000,0
Honduras,Gross Opening stocks,1/1/2000,69.2
India,Gross Opening stocks,1/1/2000,340
Jamaica,Gross Opening stocks,1/1/2000,20.525
Kenya,Gross Opening stocks,1/1/2000,411.946
Lao People's Democratic Republic,Gross Opening stocks,1/1/2000,0
Liberia,Gross Opening stocks,1/1/2000,0
Mexico,Gross Opening stocks,1/1/2000,193
Nepal,Gross Opening stocks,1/1/2000,0
Nicaragua,Gross Opening stocks,1/1/2000,107.823
Nigeria,Gross Opening stocks,1/1/2000,0
Panama,Gross Opening stocks,1/1/2000,41.777
Sierra Leone,Gross Opening stocks,1/1/2000,7
Sri Lanka,Gross Opening stocks,1/1/2000,7
Thailand,Gross Opening stocks,1/1/2000,116.167
Togo,Gross Opening stocks,1/1/2000,33.579
Trinidad & Tobago,Gross Opening stocks,1/1/2000,0
Uganda,Gross Opening stocks,1/1/2000,326.41
Venezuela,Gross Opening stocks,1/1/2000,188
Viet Nam,Gross Opening stocks,1/1/2000,666.667
Yemen,Gross Opening stocks,1/1/2000,0
Angola,Exports,1/1/2000,19.785
Bolivia (Plurinational State of),Exports,1/1/2000,112.604
Brazil,Exports,1/1/2000,18577.353
Burundi,Exports,1/1/2000,407.185
Ecuador,Exports,1/1/2000,701.817
Indonesia,Exports,1/1/2000,5614.1737
Madagascar,Exports,1/1/2000,201.253
Malawi,Exports,1/1/2000,68.138
Papua New Guinea,Exports,1/1/2000,1050.0552
Paraguay,Exports,1/1/2000,1.402
Peru,Exports,1/1/2000,2418.58
Rwanda,Exports,1/1/2000,272.073
Timor-Leste,Exports,1/1/2000,7.1279
Zimbabwe,Exports,1/1/2000,104.523
Congo,Exports,1/1/2000,0
Cuba,Exports,1/1/2000,96.0345
Dominican Republic,Exports,1/1/2000,124.372
Haiti,Exports,1/1/2000,82.85
Philippines,Exports,1/1/2000,2.9218
Tanzania,Exports,1/1/2000,816.0904
Zambia,Exports,1/1/2000,92.774
Benin,Exports,1/1/2000,0
Cameroon,Exports,1/1/2000,1144.81
Central African Republic,Exports,1/1/2000,104.267
Colombia,Exports,1/1/2000,9436.887
Costa Rica,Exports,1/1/2000,2110.536
Côte d'Ivoire,Exports,1/1/2000,4269.833
Democratic Republic of Congo,Exports,1/1/2000,151.342
El Salvador,Exports,1/1/2000,1714.5498
Equatorial Guinea,Exports,1/1/2000,0
Ethiopia,Exports,1/1/2000,1418.149
Gabon,Exports,1/1/2000,2.002
Ghana,Exports,1/1/2000,72.456
Guatemala,Exports,1/1/2000,4414.083
Guinea,Exports,1/1/2000,349.992
Guyana,Exports,1/1/2000,0.9888
Honduras,Exports,1/1/2000,2469.718
India,Exports,1/1/2000,3704.7666
Jamaica,Exports,1/1/2000,28.8334
Kenya,Exports,1/1/2000,1233.4641
Lao People's Democratic Republic,Exports,1/1/2000,212.185
Liberia,Exports,1/1/2000,7.305
Mexico,Exports,1/1/2000,3636.9789
Nepal,Exports,1/1/2000,0.1334
Nicaragua,Exports,1/1/2000,1444.9036
Nigeria,Exports,1/1/2000,9.431
Panama,Exports,1/1/2000,70.003
Sierra Leone,Exports,1/1/2000,34.155
Sri Lanka,Exports,1/1/2000,4.28
Thailand,Exports,1/1/2000,1184.4012
Togo,Exports,1/1/2000,194.814
Trinidad & Tobago,Exports,1/1/2000,2.393
Uganda,Exports,1/1/2000,3075.093
Venezuela,Exports,1/1/2000,25.934
Viet Nam,Exports,1/1/2000,14606.351
Yemen,Exports,1/1/2000,63.936
Angola,Total production,1/1/2008,37.61
Bolivia (Plurinational State of),Total production,1/1/2008,120.4186
Brazil,Total production,1/1/2008,51490.5177
Burundi,Total production,1/1/2008,411.7822
Ecuador,Total production,1/1/2008,770.6473
Indonesia,Total production,1/1/2008,9612.3466
Madagascar,Total production,1/1/2008,727.6884
Malawi,Total production,1/1/2008,20.753
Papua New Guinea,Total production,1/1/2008,1027.6529
Paraguay,Total production,1/1/2008,20.0154
Peru,Total production,1/1/2008,3872.262
Rwanda,Total production,1/1/2008,368.7282
Timor-Leste,Total production,1/1/2008,47.6918
Zimbabwe,Total production,1/1/2008,24.2492
Congo,Total production,1/1/2008,3
Cuba,Total production,1/1/2008,133.4523
Dominican Republic,Total production,1/1/2008,645.0295
Haiti,Total production,1/1/2008,358.6822
Philippines,Total production,1/1/2008,586.8337
Tanzania,Total production,1/1/2008,1186.2823
Zambia,Total production,1/1/2008,34.6967
Benin,Total production,1/1/2008,0
Cameroon,Total production,1/1/2008,724.9004
Central African Republic,Total production,1/1/2008,59.616
Colombia,Total production,1/1/2008,8664.2903
Costa Rica,Total production,1/1/2008,1499.918
Côte d'Ivoire,Total production,1/1/2008,2526.3263
Democratic Republic of Congo,Total production,1/1/2008,421.9583
El Salvador,Total production,1/1/2008,1450.2264
Equatorial Guinea,Total production,1/1/2008,0
Ethiopia,Total production,1/1/2008,4948.9869
Gabon,Total production,1/1/2008,2.067
Ghana,Total production,1/1/2008,26.4006
Guatemala,Total production,1/1/2008,3784.9658
Guinea,Total production,1/1/2008,504.7819
Guyana,Total production,1/1/2008,9.8722
Honduras,Total production,1/1/2008,3449.9872
India,Total production,1/1/2008,4071.666
Jamaica,Total production,1/1/2008,31.8915
Kenya,Total production,1/1/2008,541.075
Lao People's Democratic Republic,Total production,1/1/2008,405.6104
Liberia,Total production,1/1/2008,12.4117
Mexico,Total production,1/1/2008,4650.6492
Nepal,Total production,1/1/2008,1.4624
Nicaragua,Total production,1/1/2008,1444.7342
Nigeria,Total production,1/1/2008,50.0048
Panama,Total production,1/1/2008,149.1609
Sierra Leone,Total production,1/1/2008,86.2856
Sri Lanka,Total production,1/1/2008,30.8644
Thailand,Total production,1/1/2008,674.5626
Togo,Total production,1/1/2008,137.7531
Trinidad & Tobago,Total production,1/1/2008,11.4194
Uganda,Total production,1/1/2008,3335.167
Venezuela,Total production,1/1/2008,932.4219
Viet Nam,Total production,1/1/2008,18438.1201
Yemen,Total production,1/1/2008,219.7968
Angola,Domestic consumption,1/1/2008,30
Bolivia (Plurinational State of),Domestic consumption,1/1/2008,45
Brazil,Domestic consumption,1/1/2008,17660
Burundi,Domestic consumption,1/1/2008,1.435
Ecuador,Domestic consumption,1/1/2008,150
Indonesia,Domestic consumption,1/1/2008,3333
Madagascar,Domestic consumption,1/1/2008,467
Malawi,Domestic consumption,1/1/2008,1
Papua New Guinea,Domestic consumption,1/1/2008,2
Paraguay,Domestic consumption,1/1/2008,20
Peru,Domestic consumption,1/1/2008,250
Rwanda,Domestic consumption,1/1/2008,1
Timor-Leste,Domestic consumption,1/1/2008,0
Zimbabwe,Domestic consumption,1/1/2008,4
Congo,Domestic consumption,1/1/2008,3
Cuba,Domestic consumption,1/1/2008,220
Dominican Republic,Domestic consumption,1/1/2008,378
Haiti,Domestic consumption,1/1/2008,340
Philippines,Domestic consumption,1/1/2008,1720
Tanzania,Domestic consumption,1/1/2008,47
Zambia,Domestic consumption,1/1/2008,1
Benin,Domestic consumption,1/1/2008,0
Cameroon,Domestic consumption,1/1/2008,69
Central African Republic,Domestic consumption,1/1/2008,5
Colombia,Domestic consumption,1/1/2008,1290.5
Costa Rica,Domestic consumption,1/1/2008,267.859
Côte d'Ivoire,Domestic consumption,1/1/2008,317
Democratic Republic of Congo,Domestic consumption,1/1/2008,200
El Salvador,Domestic consumption,1/1/2008,244.3
Equatorial Guinea,Domestic consumption,1/1/2008,0
Ethiopia,Domestic consumption,1/1/2008,3048
Gabon,Domestic consumption,1/1/2008,0.275
Ghana,Domestic consumption,1/1/2008,2
Guatemala,Domestic consumption,1/1/2008,335
Guinea,Domestic consumption,1/1/2008,50
Guyana,Domestic consumption,1/1/2008,8.467
Honduras,Domestic consumption,1/1/2008,268.333
India,Domestic consumption,1/1/2008,1275
Jamaica,Domestic consumption,1/1/2008,9
Kenya,Domestic consumption,1/1/2008,50
Lao People's Democratic Republic,Domestic consumption,1/1/2008,150
Liberia,Domestic consumption,1/1/2008,5
Mexico,Domestic consumption,1/1/2008,2200
Nepal,Domestic consumption,1/1/2008,0
Nicaragua,Domestic consumption,1/1/2008,194.147
Nigeria,Domestic consumption,1/1/2008,40
Panama,Domestic consumption,1/1/2008,67
Sierra Leone,Domestic consumption,1/1/2008,5
Sri Lanka,Domestic consumption,1/1/2008,30
Thailand,Domestic consumption,1/1/2008,600
Togo,Domestic consumption,1/1/2008,2
Trinidad & Tobago,Domestic consumption,1/1/2008,11
Uganda,Domestic consumption,1/1/2008,185
Venezuela,Domestic consumption,1/1/2008,1649.26
Viet Nam,Domestic consumption,1/1/2008,1021
Yemen,Domestic consumption,1/1/2008,130
Angola,Exportable production,1/1/2008,7.61
Bolivia (Plurinational State of),Exportable production,1/1/2008,75.4186
Brazil,Exportable production,1/1/2008,33830.5177
Burundi,Exportable production,1/1/2008,410.3472
Ecuador,Exportable production,1/1/2008,620.6473
Indonesia,Exportable production,1/1/2008,6279.3466
Madagascar,Exportable production,1/1/2008,260.6884
Malawi,Exportable production,1/1/2008,19.753
Papua New Guinea,Exportable production,1/1/2008,1025.6529
Paraguay,Exportable production,1/1/2008,0.0154
Peru,Exportable production,1/1/2008,3622.262
Rwanda,Exportable production,1/1/2008,367.7282
Timor-Leste,Exportable production,1/1/2008,47.6918
Zimbabwe,Exportable production,1/1/2008,20.2492
Congo,Exportable production,1/1/2008,0
Cuba,Exportable production,1/1/2008,0
Dominican Republic,Exportable production,1/1/2008,267.0295
Haiti,Exportable production,1/1/2008,18.6822
Philippines,Exportable production,1/1/2008,0
Tanzania,Exportable production,1/1/2008,1139.2823
Zambia,Exportable production,1/1/2008,33.6967
Benin,Exportable production,1/1/2008,0
Cameroon,Exportable production,1/1/2008,655.9004
Central African Republic,Exportable production,1/1/2008,54.616
Colombia,Exportable production,1/1/2008,7373.7903
Costa Rica,Exportable production,1/1/2008,1232.059
Côte d'Ivoire,Exportable production,1/1/2008,2209.3263
Democratic Republic of Congo,Exportable production,1/1/2008,221.9583
El Salvador,Exportable production,1/1/2008,1205.9264
Equatorial Guinea,Exportable production,1/1/2008,0
Ethiopia,Exportable production,1/1/2008,1900.9869
Gabon,Exportable production,1/1/2008,1.792
Ghana,Exportable production,1/1/2008,24.4006
Guatemala,Exportable production,1/1/2008,3449.9658
Guinea,Exportable production,1/1/2008,454.7819
Guyana,Exportable production,1/1/2008,1.4052
Honduras,Exportable production,1/1/2008,3181.6542
India,Exportable production,1/1/2008,2796.666
Jamaica,Exportable production,1/1/2008,22.8915
Kenya,Exportable production,1/1/2008,491.075
Lao People's Democratic Republic,Exportable production,1/1/2008,255.6104
Liberia,Exportable production,1/1/2008,7.4117
Mexico,Exportable production,1/1/2008,2450.6492
Nepal,Exportable production,1/1/2008,1.4624
Nicaragua,Exportable production,1/1/2008,1250.5872
Nigeria,Exportable production,1/1/2008,10.0048
Panama,Exportable production,1/1/2008,82.1609
Sierra Leone,Exportable production,1/1/2008,81.2856
Sri Lanka,Exportable production,1/1/2008,0.8644
Thailand,Exportable production,1/1/2008,74.5626
Togo,Exportable production,1/1/2008,135.7531
Trinidad & Tobago,Exportable production,1/1/2008,0.4194
Uganda,Exportable production,1/1/2008,3150.167
Venezuela,Exportable production,1/1/2008,0
Viet Nam,Exportable production,1/1/2008,17417.1201
Yemen,Exportable production,1/1/2008,89.7968
Angola,Gross Opening stocks,1/1/2008,40
Bolivia (Plurinational State of),Gross Opening stocks,1/1/2008,0
Brazil,Gross Opening stocks,1/1/2008,12227
Burundi,Gross Opening stocks,1/1/2008,5.15
Ecuador,Gross Opening stocks,1/1/2008,6.2
Indonesia,Gross Opening stocks,1/1/2008,56
Madagascar,Gross Opening stocks,1/1/2008,0
Malawi,Gross Opening stocks,1/1/2008,0
Papua New Guinea,Gross Opening stocks,1/1/2008,76
Paraguay,Gross Opening stocks,1/1/2008,0
Peru,Gross Opening stocks,1/1/2008,201
Rwanda,Gross Opening stocks,1/1/2008,17
Timor-Leste,Gross Opening stocks,1/1/2008,0
Zimbabwe,Gross Opening stocks,1/1/2008,0
Congo,Gross Opening stocks,1/1/2008,0
Cuba,Gross Opening stocks,1/1/2008,12
Dominican Republic,Gross Opening stocks,1/1/2008,52
Haiti,Gross Opening stocks,1/1/2008,0
Philippines,Gross Opening stocks,1/1/2008,0
Tanzania,Gross Opening stocks,1/1/2008,13.2166
Zambia,Gross Opening stocks,1/1/2008,0
Benin,Gross Opening stocks,1/1/2008,0
Cameroon,Gross Opening stocks,1/1/2008,9
Central African Republic,Gross Opening stocks,1/1/2008,8.333
Colombia,Gross Opening stocks,1/1/2008,1354.25
Costa Rica,Gross Opening stocks,1/1/2008,120
Côte d'Ivoire,Gross Opening stocks,1/1/2008,584.231
Democratic Republic of Congo,Gross Opening stocks,1/1/2008,0
El Salvador,Gross Opening stocks,1/1/2008,15.2
Equatorial Guinea,Gross Opening stocks,1/1/2008,0
Ethiopia,Gross Opening stocks,1/1/2008,1200
Gabon,Gross Opening stocks,1/1/2008,0
Ghana,Gross Opening stocks,1/1/2008,0
Guatemala,Gross Opening stocks,1/1/2008,8
Guinea,Gross Opening stocks,1/1/2008,1
Guyana,Gross Opening stocks,1/1/2008,0
Honduras,Gross Opening stocks,1/1/2008,98.14
India,Gross Opening stocks,1/1/2008,1553
Jamaica,Gross Opening stocks,1/1/2008,7
Kenya,Gross Opening stocks,1/1/2008,75
Lao People's Democratic Republic,Gross Opening stocks,1/1/2008,0
Liberia,Gross Opening stocks,1/1/2008,0
Mexico,Gross Opening stocks,1/1/2008,120
Nepal,Gross Opening stocks,1/1/2008,0
Nicaragua,Gross Opening stocks,1/1/2008,204.411
Nigeria,Gross Opening stocks,1/1/2008,0
Panama,Gross Opening stocks,1/1/2008,5
Sierra Leone,Gross Opening stocks,1/1/2008,0
Sri Lanka,Gross Opening stocks,1/1/2008,0
Thailand,Gross Opening stocks,1/1/2008,11
Togo,Gross Opening stocks,1/1/2008,9
Trinidad & Tobago,Gross Opening stocks,1/1/2008,0
Uganda,Gross Opening stocks,1/1/2008,379.554
Venezuela,Gross Opening stocks,1/1/2008,7
Viet Nam,Gross Opening stocks,1/1/2008,526
Yemen,Gross Opening stocks,1/1/2008,0
Angola,Exports,1/1/2008,7.61
Bolivia (Plurinational State of),Exports,1/1/2008,75.4186
Brazil,Exports,1/1/2008,30291.5177
Burundi,Exports,1/1/2008,351.0322
Ecuador,Exports,1/1/2008,858.8473
Indonesia,Exports,1/1/2008,5667.3466
Madagascar,Exports,1/1/2008,149.6884
Malawi,Exports,1/1/2008,19.753
Papua New Guinea,Exports,1/1/2008,1063.6529
Paraguay,Exports,1/1/2008,0.0154
Peru,Exports,1/1/2008,3823.262
Rwanda,Exports,1/1/2008,356.7282
Timor-Leste,Exports,1/1/2008,47.6918
Zimbabwe,Exports,1/1/2008,20.2492
Congo,Exports,1/1/2008,0
Cuba,Exports,1/1/2008,7.4523
Dominican Republic,Exports,1/1/2008,113.1015
Haiti,Exports,1/1/2008,18.6822
Philippines,Exports,1/1/2008,6.8337
Tanzania,Exports,1/1/2008,1116.4989
Zambia,Exports,1/1/2008,33.6967
Benin,Exports,1/1/2008,0
Cameroon,Exports,1/1/2008,539.9004
Central African Republic,Exports,1/1/2008,59.616
Colombia,Exports,1/1/2008,8716.1603
Costa Rica,Exports,1/1/2008,1300.873
Côte d'Ivoire,Exports,1/1/2008,1615.8123
Democratic Republic of Congo,Exports,1/1/2008,172.9582
El Salvador,Exports,1/1/2008,1343.3264
Equatorial Guinea,Exports,1/1/2008,0
Ethiopia,Exports,1/1/2008,1867.9869
Gabon,Exports,1/1/2008,0.675
Ghana,Exports,1/1/2008,19.4006
Guatemala,Exports,1/1/2008,3455.9658
Guinea,Exports,1/1/2008,360.7819
Guyana,Exports,1/1/2008,1.4052
Honduras,Exports,1/1/2008,3020.8802
India,Exports,1/1/2008,2953.666
Jamaica,Exports,1/1/2008,24.8915
Kenya,Exports,1/1/2008,541.075
Lao People's Democratic Republic,Exports,1/1/2008,256.6104
Liberia,Exports,1/1/2008,7.4117
Mexico,Exports,1/1/2008,2774.6492
Nepal,Exports,1/1/2008,1.7141
Nicaragua,Exports,1/1/2008,1432.5182
Nigeria,Exports,1/1/2008,2.0048
Panama,Exports,1/1/2008,65.1609
Sierra Leone,Exports,1/1/2008,66.2856
Sri Lanka,Exports,1/1/2008,0.8644
Thailand,Exports,1/1/2008,183.5626
Togo,Exports,1/1/2008,141.7531
Trinidad & Tobago,Exports,1/1/2008,0.4194
Uganda,Exports,1/1/2008,3053.688
Venezuela,Exports,1/1/2008,22.1619
Viet Nam,Exports,1/1/2008,17386.1201
Yemen,Exports,1/1/2008,46.7968
Angola,Total production,1/1/2002,56.64
Bolivia (Plurinational State of),Total production,1/1/2002,126.668
Brazil,Total production,1/1/2002,48351.634
Burundi,Total production,1/1/2002,453.732
Ecuador,Total production,1/1/2002,582.224
Indonesia,Total production,1/1/2002,6731.376
Madagascar,Total production,1/1/2002,445.455
Malawi,Total production,1/1/2002,42.464
Papua New Guinea,Total production,1/1/2002,1085.147
Paraguay,Total production,1/1/2002,26.0485
Peru,Total production,1/1/2002,3000.32
Rwanda,Total production,1/1/2002,319.68
Timor-Leste,Total production,1/1/2002,36.8093
Zimbabwe,Total production,1/1/2002,110.121
Congo,Total production,1/1/2002,3
Cuba,Total production,1/1/2002,239.105
Dominican Republic,Total production,1/1/2002,455.198
Haiti,Total production,1/1/2002,373.945
Philippines,Total production,1/1/2002,255.21
Tanzania,Total production,1/1/2002,823.609
Zambia,Total production,1/1/2002,118.927
Benin,Total production,1/1/2002,0
Cameroon,Total production,1/1/2002,800.795
Central African Republic,Total production,1/1/2002,92.094
Colombia,Total production,1/1/2002,11712.04
Costa Rica,Total production,1/1/2002,2043.413
Côte d'Ivoire,Total production,1/1/2002,3009.64
Democratic Republic of Congo,Total production,1/1/2002,337.873
El Salvador,Total production,1/1/2002,1361.376
Equatorial Guinea,Total production,1/1/2002,0
Ethiopia,Total production,1/1/2002,4093.902
Gabon,Total production,1/1/2002,1.25
Ghana,Total production,1/1/2002,33.6323
Guatemala,Total production,1/1/2002,4069.953
Guinea,Total production,1/1/2002,328.229
Guyana,Total production,1/1/2002,5.2013
Honduras,Total production,1/1/2002,2495.886
India,Total production,1/1/2002,4587.889
Jamaica,Total production,1/1/2002,37.123
Kenya,Total production,1/1/2002,945.402
Lao People's Democratic Republic,Total production,1/1/2002,402.0043
Liberia,Total production,1/1/2002,12.482
Mexico,Total production,1/1/2002,4351.426
Nepal,Total production,1/1/2002,0
Nicaragua,Total production,1/1/2002,1170.017
Nigeria,Total production,1/1/2002,49.815
Panama,Total production,1/1/2002,139.962
Sierra Leone,Total production,1/1/2002,41.7289
Sri Lanka,Total production,1/1/2002,34.3807
Thailand,Total production,1/1/2002,731.9
Togo,Total production,1/1/2002,68.205
Trinidad & Tobago,Total production,1/1/2002,16.5524
Uganda,Total production,1/1/2002,2890.058
Venezuela,Total production,1/1/2002,1483.5896
Viet Nam,Total production,1/1/2002,11573.935
Yemen,Total production,1/1/2002,56.7446
Angola,Domestic consumption,1/1/2002,20
Bolivia (Plurinational State of),Domestic consumption,1/1/2002,37.5
Brazil,Domestic consumption,1/1/2002,13750
Burundi,Domestic consumption,1/1/2002,2
Ecuador,Domestic consumption,1/1/2002,150
Indonesia,Domestic consumption,1/1/2002,1779
Madagascar,Domestic consumption,1/1/2002,217
Malawi,Domestic consumption,1/1/2002,1
Papua New Guinea,Domestic consumption,1/1/2002,2
Paraguay,Domestic consumption,1/1/2002,20
Peru,Domestic consumption,1/1/2002,220
Rwanda,Domestic consumption,1/1/2002,0.333
Timor-Leste,Domestic consumption,1/1/2002,0
Zimbabwe,Domestic consumption,1/1/2002,4
Congo,Domestic consumption,1/1/2002,3
Cuba,Domestic consumption,1/1/2002,224
Dominican Republic,Domestic consumption,1/1/2002,340.198
Haiti,Domestic consumption,1/1/2002,340
Philippines,Domestic consumption,1/1/2002,829
Tanzania,Domestic consumption,1/1/2002,15
Zambia,Domestic consumption,1/1/2002,0.6
Benin,Domestic consumption,1/1/2002,0
Cameroon,Domestic consumption,1/1/2002,69
Central African Republic,Domestic consumption,1/1/2002,3.787
Colombia,Domestic consumption,1/1/2002,1252
Costa Rica,Domestic consumption,1/1/2002,375
Côte d'Ivoire,Domestic consumption,1/1/2002,316.667
Democratic Republic of Congo,Domestic consumption,1/1/2002,200
El Salvador,Domestic consumption,1/1/2002,153.3
Equatorial Guinea,Domestic consumption,1/1/2002,0
Ethiopia,Domestic consumption,1/1/2002,2234
Gabon,Domestic consumption,1/1/2002,0.3
Ghana,Domestic consumption,1/1/2002,1
Guatemala,Domestic consumption,1/1/2002,300
Guinea,Domestic consumption,1/1/2002,50
Guyana,Domestic consumption,1/1/2002,4.35
Honduras,Domestic consumption,1/1/2002,200
India,Domestic consumption,1/1/2002,1133
Jamaica,Domestic consumption,1/1/2002,9
Kenya,Domestic consumption,1/1/2002,50
Lao People's Democratic Republic,Domestic consumption,1/1/2002,158
Liberia,Domestic consumption,1/1/2002,5
Mexico,Domestic consumption,1/1/2002,1500
Nepal,Domestic consumption,1/1/2002,0
Nicaragua,Domestic consumption,1/1/2002,179.624
Nigeria,Domestic consumption,1/1/2002,40
Panama,Domestic consumption,1/1/2002,67
Sierra Leone,Domestic consumption,1/1/2002,5
Sri Lanka,Domestic consumption,1/1/2002,30
Thailand,Domestic consumption,1/1/2002,500
Togo,Domestic consumption,1/1/2002,2
Trinidad & Tobago,Domestic consumption,1/1/2002,14
Uganda,Domestic consumption,1/1/2002,140
Venezuela,Domestic consumption,1/1/2002,1286.27
Viet Nam,Domestic consumption,1/1/2002,518.842
Yemen,Domestic consumption,1/1/2002,0
Angola,Exportable production,1/1/2002,36.64
Bolivia (Plurinational State of),Exportable production,1/1/2002,89.168
Brazil,Exportable production,1/1/2002,34601.634
Burundi,Exportable production,1/1/2002,451.732
Ecuador,Exportable production,1/1/2002,432.224
Indonesia,Exportable production,1/1/2002,4952.376
Madagascar,Exportable production,1/1/2002,228.455
Malawi,Exportable production,1/1/2002,41.464
Papua New Guinea,Exportable production,1/1/2002,1083.147
Paraguay,Exportable production,1/1/2002,6.0485
Peru,Exportable production,1/1/2002,2780.32
Rwanda,Exportable production,1/1/2002,319.347
Timor-Leste,Exportable production,1/1/2002,36.8093
Zimbabwe,Exportable production,1/1/2002,106.121
Congo,Exportable production,1/1/2002,0
Cuba,Exportable production,1/1/2002,15.105
Dominican Republic,Exportable production,1/1/2002,115
Haiti,Exportable production,1/1/2002,33.945
Philippines,Exportable production,1/1/2002,0
Tanzania,Exportable production,1/1/2002,808.609
Zambia,Exportable production,1/1/2002,118.327
Benin,Exportable production,1/1/2002,0
Cameroon,Exportable production,1/1/2002,731.795
Central African Republic,Exportable production,1/1/2002,88.307
Colombia,Exportable production,1/1/2002,10460.04
Costa Rica,Exportable production,1/1/2002,1668.413
Côte d'Ivoire,Exportable production,1/1/2002,2692.973
Democratic Republic of Congo,Exportable production,1/1/2002,137.873
El Salvador,Exportable production,1/1/2002,1208.076
Equatorial Guinea,Exportable production,1/1/2002,0
Ethiopia,Exportable production,1/1/2002,1859.902
Gabon,Exportable production,1/1/2002,0.95
Ghana,Exportable production,1/1/2002,32.6323
Guatemala,Exportable production,1/1/2002,3769.953
Guinea,Exportable production,1/1/2002,278.229
Guyana,Exportable production,1/1/2002,0.8513
Honduras,Exportable production,1/1/2002,2295.886
India,Exportable production,1/1/2002,3454.889
Jamaica,Exportable production,1/1/2002,28.123
Kenya,Exportable production,1/1/2002,895.402
Lao People's Democratic Republic,Exportable production,1/1/2002,244.0043
Liberia,Exportable production,1/1/2002,7.482
Mexico,Exportable production,1/1/2002,2851.426
Nepal,Exportable production,1/1/2002,0
Nicaragua,Exportable production,1/1/2002,990.393
Nigeria,Exportable production,1/1/2002,9.815
Panama,Exportable production,1/1/2002,72.962
